name,short_name,station_id,lat,electric_bike_surcharge_waiver,rental_url,has_kiosk,eightd_station_services,rental_methods,region_id,eightd_has_key_dispenser,external_id,station_type,legacy_id,lon,capacity,point,neighborhood,borough
W 52 St & 11 Ave,6926.01,72,40.76727216,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=72,True,[],"['KEY', 'CREDITCARD']",71,False,66db237e-0aca-11e7-82f6-3863bb44ef7c,classic,72,-73.99392888,0,POINT (-73.99392888 40.76727216),Clinton,Manhattan
Franklin St & W Broadway,5430.08,79,40.71911552,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=79,True,[],"['KEY', 'CREDITCARD']",71,False,66db269c-0aca-11e7-82f6-3863bb44ef7c,classic,79,-74.00666661,33,POINT (-74.00666661 40.71911552),SoHo-TriBeCa-Civic Center-Little Italy,Manhattan
St James Pl & Pearl St,5167.06,82,40.71117416,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=82,True,[],"['KEY', 'CREDITCARD']",71,False,66db277a-0aca-11e7-82f6-3863bb44ef7c,classic,82,-74.00016545,27,POINT (-74.00016545 40.71117416),park-cemetery-etc-Manhattan,Manhattan
Atlantic Ave & Fort Greene Pl,4354.07,83,40.68382604,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=83,True,[],"['KEY', 'CREDITCARD']",71,False,66db281e-0aca-11e7-82f6-3863bb44ef7c,classic,83,-73.97632328,62,POINT (-73.97632328 40.68382604),Fort Greene,Brooklyn
W 17 St & 8 Ave,6148.02,116,40.74177603,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=116,True,[],"['KEY', 'CREDITCARD']",71,False,66db28b5-0aca-11e7-82f6-3863bb44ef7c,classic,116,-74.00149746,50,POINT (-74.00149746 40.74177603),Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan
Park Ave & St Edwards St,4700.06,119,40.69608941,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=119,True,[],"['KEY', 'CREDITCARD']",71,False,66db2953-0aca-11e7-82f6-3863bb44ef7c,classic,119,-73.97803415,53,POINT (-73.97803415 40.69608941),Fort Greene,Brooklyn
Lexington Ave & Classon Ave,4452.03,120,40.68676793,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=120,True,[],"['KEY', 'CREDITCARD']",71,False,66db29e6-0aca-11e7-82f6-3863bb44ef7c,classic,120,-73.95928168,19,POINT (-73.95928168 40.68676793),Bedford,Brooklyn
Barrow St & Hudson St,5805.05,127,40.73172428,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=127,True,[],"['KEY', 'CREDITCARD']",71,False,66db2a71-0aca-11e7-82f6-3863bb44ef7c,classic,127,-74.00674436,31,POINT (-74.00674436 40.73172428),West Village,Manhattan
MacDougal St & Prince St,5687.04,128,40.72710258,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=128,True,[],"['KEY', 'CREDITCARD']",71,False,66db2afe-0aca-11e7-82f6-3863bb44ef7c,classic,128,-74.00297088,30,POINT (-74.00297088000001 40.72710258),SoHo-TriBeCa-Civic Center-Little Italy,Manhattan
Clinton St & Joralemon St,4605.04,143,40.69239502,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=143,True,[],"['KEY', 'CREDITCARD']",71,False,66db2d2b-0aca-11e7-82f6-3863bb44ef7c,classic,143,-73.99337909,24,POINT (-73.99337909 40.69239502),Brooklyn Heights-Cobble Hill,Brooklyn
Nassau St & Navy St,4812.02,144,40.69839895,False,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=144,True,[],"['KEY', 'CREDITCARD']",71,False,66db2db5-0aca-11e7-82f6-3863bb44ef7c,classic,144,-73.98068914,58,POINT (-73.98068914 40.69839895),DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn
